BAL,Day-ahead Total Load Forecast [MW] - Baltics (BA),Actual Total Load [MW] - Baltics (BA)
01.01.2018 00:00 - 01.01.2018 01:00,2634,2635
01.01.2018 01:00 - 01.01.2018 02:00,2567,2591
01.01.2018 02:00 - 01.01.2018 03:00,2502,2545
01.01.2018 03:00 - 01.01.2018 04:00,2486,2501
01.01.2018 04:00 - 01.01.2018 05:00,2494,2509
01.01.2018 05:00 - 01.01.2018 06:00,2563,2568
01.01.2018 06:00 - 01.01.2018 07:00,2541,2510
01.01.2018 07:00 - 01.01.2018 08:00,2760,2701
01.01.2018 08:00 - 01.01.2018 09:00,2857,2739
01.01.2018 09:00 - 01.01.2018 10:00,2985,2887
01.01.2018 10:00 - 01.01.2018 11:00,3088,3008
01.01.2018 11:00 - 01.01.2018 12:00,3147,3071
01.01.2018 12:00 - 01.01.2018 13:00,3177,3099
01.01.2018 13:00 - 01.01.2018 14:00,3167,3122
01.01.2018 14:00 - 01.01.2018 15:00,3241,3175
01.01.2018 15:00 - 01.01.2018 16:00,3471,3360
01.01.2018 16:00 - 01.01.2018 17:00,3537,3433
01.01.2018 17:00 - 01.01.2018 18:00,3503,3414
01.01.2018 18:00 - 01.01.2018 19:00,3464,3360
01.01.2018 19:00 - 01.01.2018 20:00,3357,3266
01.01.2018 20:00 - 01.01.2018 21:00,3316,3140
01.01.2018 21:00 - 01.01.2018 22:00,3115,2940
01.01.2018 22:00 - 01.01.2018 23:00,2878,2721
01.01.2018 23:00 - 02.01.2018 00:00,2664,2566
02.01.2018 00:00 - 02.01.2018 01:00,2482,2339
02.01.2018 01:00 - 02.01.2018 02:00,2426,2274
02.01.2018 02:00 - 02.01.2018 03:00,2401,2254
02.01.2018 03:00 - 02.01.2018 04:00,2418,2278
02.01.2018 04:00 - 02.01.2018 05:00,2546,2430
02.01.2018 05:00 - 02.01.2018 06:00,2890,2830
02.01.2018 06:00 - 02.01.2018 07:00,3282,3279
02.01.2018 07:00 - 02.01.2018 08:00,3574,3530
02.01.2018 08:00 - 02.01.2018 09:00,3705,3679
02.01.2018 09:00 - 02.01.2018 10:00,3798,3775
02.01.2018 10:00 - 02.01.2018 11:00,3859,3801
02.01.2018 11:00 - 02.01.2018 12:00,3876,3764
02.01.2018 12:00 - 02.01.2018 13:00,3892,3814
02.01.2018 13:00 - 02.01.2018 14:00,3834,3799
02.01.2018 14:00 - 02.01.2018 15:00,3865,3831
02.01.2018 15:00 - 02.01.2018 16:00,4002,3972
02.01.2018 16:00 - 02.01.2018 17:00,4006,3969
02.01.2018 17:00 - 02.01.2018 18:00,3926,3895
02.01.2018 18:00 - 02.01.2018 19:00,3833,3764
02.01.2018 19:00 - 02.01.2018 20:00,3704,3622
02.01.2018 20:00 - 02.01.2018 21:00,3507,3439
02.01.2018 21:00 - 02.01.2018 22:00,3218,3151
02.01.2018 22:00 - 02.01.2018 23:00,2935,2877
02.01.2018 23:00 - 03.01.2018 00:00,2790,2674
03.01.2018 00:00 - 03.01.2018 01:00,2585,2534
03.01.2018 01:00 - 03.01.2018 02:00,2521,2454
03.01.2018 02:00 - 03.01.2018 03:00,2494,2418
03.01.2018 03:00 - 03.01.2018 04:00,2492,2430
03.01.2018 04:00 - 03.01.2018 05:00,2612,2565
03.01.2018 05:00 - 03.01.2018 06:00,2963,2961
03.01.2018 06:00 - 03.01.2018 07:00,3346,3446
03.01.2018 07:00 - 03.01.2018 08:00,3630,3835
03.01.2018 08:00 - 03.01.2018 09:00,3776,3956
03.01.2018 09:00 - 03.01.2018 10:00,3877,4000
03.01.2018 10:00 - 03.01.2018 11:00,3894,4024
03.01.2018 11:00 - 03.01.2018 12:00,3855,3984
03.01.2018 12:00 - 03.01.2018 13:00,3889,4048
03.01.2018 13:00 - 03.01.2018 14:00,3851,4031
03.01.2018 14:00 - 03.01.2018 15:00,3816,4048
03.01.2018 15:00 - 03.01.2018 16:00,3964,4157
03.01.2018 16:00 - 03.01.2018 17:00,4011,4125
03.01.2018 17:00 - 03.01.2018 18:00,4000,4041
03.01.2018 18:00 - 03.01.2018 19:00,3875,3911
03.01.2018 19:00 - 03.01.2018 20:00,3740,3771
03.01.2018 20:00 - 03.01.2018 21:00,3541,3568
03.01.2018 21:00 - 03.01.2018 22:00,3265,3242
03.01.2018 22:00 - 03.01.2018 23:00,2980,2934
03.01.2018 23:00 - 04.01.2018 00:00,2782,2713
