"FIN","Day-ahead Total Load Forecast [MW] - Finland (FI)","Actual Total Load [MW] - Finland (FI)"
"01.01.2018 00:00 - 01.01.2018 01:00","9587","9715"
"01.01.2018 01:00 - 01.01.2018 02:00","9330","9410"
"01.01.2018 02:00 - 01.01.2018 03:00","9192","9242"
"01.01.2018 03:00 - 01.01.2018 04:00","9205","9260"
"01.01.2018 04:00 - 01.01.2018 05:00","9276","9364"
"01.01.2018 05:00 - 01.01.2018 06:00","9427","9586"
"01.01.2018 06:00 - 01.01.2018 07:00","9474","9597"
"01.01.2018 07:00 - 01.01.2018 08:00","9639","9813"
"01.01.2018 08:00 - 01.01.2018 09:00","9645","9827"
"01.01.2018 09:00 - 01.01.2018 10:00","9668","9864"
"01.01.2018 10:00 - 01.01.2018 11:00","9817","10047"
"01.01.2018 11:00 - 01.01.2018 12:00","9927","10071"
"01.01.2018 12:00 - 01.01.2018 13:00","9983","10070"
"01.01.2018 13:00 - 01.01.2018 14:00","10062","10173"
"01.01.2018 14:00 - 01.01.2018 15:00","10300","10488"
"01.01.2018 15:00 - 01.01.2018 16:00","10516","10650"
"01.01.2018 16:00 - 01.01.2018 17:00","10595","10667"
"01.01.2018 17:00 - 01.01.2018 18:00","10627","10754"
"01.01.2018 18:00 - 01.01.2018 19:00","10625","10742"
"01.01.2018 19:00 - 01.01.2018 20:00","10500","10550"
"01.01.2018 20:00 - 01.01.2018 21:00","10222","10184"
"01.01.2018 21:00 - 01.01.2018 22:00","10421","10458"
"01.01.2018 22:00 - 01.01.2018 23:00","10277","10289"
"01.01.2018 23:00 - 02.01.2018 00:00","9857","9856"
"02.01.2018 00:00 - 02.01.2018 01:00","9555","9562"
"02.01.2018 01:00 - 02.01.2018 02:00","9335","9367"
"02.01.2018 02:00 - 02.01.2018 03:00","9274","9271"
"02.01.2018 03:00 - 02.01.2018 04:00","9334","9304"
"02.01.2018 04:00 - 02.01.2018 05:00","9644","9584"
"02.01.2018 05:00 - 02.01.2018 06:00","10272","10326"
"02.01.2018 06:00 - 02.01.2018 07:00","10636","10758"
"02.01.2018 07:00 - 02.01.2018 08:00","10950","11049"
"02.01.2018 08:00 - 02.01.2018 09:00","10959","11113"
"02.01.2018 09:00 - 02.01.2018 10:00","10918","11070"
"02.01.2018 10:00 - 02.01.2018 11:00","10943","11095"
"02.01.2018 11:00 - 02.01.2018 12:00","10959","11166"
"02.01.2018 12:00 - 02.01.2018 13:00","10960","11126"
"02.01.2018 13:00 - 02.01.2018 14:00","10998","11154"
"02.01.2018 14:00 - 02.01.2018 15:00","11121","11322"
"02.01.2018 15:00 - 02.01.2018 16:00","11290","11514"
"02.01.2018 16:00 - 02.01.2018 17:00","11267","11507"
"02.01.2018 17:00 - 02.01.2018 18:00","11198","11489"
"02.01.2018 18:00 - 02.01.2018 19:00","11163","11451"
"02.01.2018 19:00 - 02.01.2018 20:00","11015","11262"
"02.01.2018 20:00 - 02.01.2018 21:00","10600","10711"
