"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Latvia (LV)","Actual Total Load [MW] - Latvia (LV)"
"01.01.2018 00:00 - 01.01.2018 01:00","638","663"
"01.01.2018 01:00 - 01.01.2018 02:00","602","640"
"01.01.2018 02:00 - 01.01.2018 03:00","582","615"
"01.01.2018 03:00 - 01.01.2018 04:00","565","595"
"01.01.2018 04:00 - 01.01.2018 05:00","568","599"
"01.01.2018 05:00 - 01.01.2018 06:00","573","613"
"01.01.2018 06:00 - 01.01.2018 07:00","605","628"
"01.01.2018 07:00 - 01.01.2018 08:00","628","640"
"01.01.2018 08:00 - 01.01.2018 09:00","656","640"
"01.01.2018 09:00 - 01.01.2018 10:00","683","684"
"01.01.2018 10:00 - 01.01.2018 11:00","712","720"
"01.01.2018 11:00 - 01.01.2018 12:00","735","738"
"01.01.2018 12:00 - 01.01.2018 13:00","740","747"
"01.01.2018 13:00 - 01.01.2018 14:00","737","759"
"01.01.2018 14:00 - 01.01.2018 15:00","761","766"
"01.01.2018 15:00 - 01.01.2018 16:00","827","817"
"01.01.2018 16:00 - 01.01.2018 17:00","849","840"
"01.01.2018 17:00 - 01.01.2018 18:00","835","843"
"01.01.2018 18:00 - 01.01.2018 19:00","830","833"
"01.01.2018 19:00 - 01.01.2018 20:00","794","817"
"01.01.2018 20:00 - 01.01.2018 21:00","763","795"
"01.01.2018 21:00 - 01.01.2018 22:00","709","735"
"01.01.2018 22:00 - 01.01.2018 23:00","638","669"
"01.01.2018 23:00 - 02.01.2018 00:00","602","614"
"02.01.2018 00:00 - 02.01.2018 01:00","577","575"
"02.01.2018 01:00 - 02.01.2018 02:00","571","555"
"02.01.2018 02:00 - 02.01.2018 03:00","565","550"
"02.01.2018 03:00 - 02.01.2018 04:00","575","557"
"02.01.2018 04:00 - 02.01.2018 05:00","623","600"
"02.01.2018 05:00 - 02.01.2018 06:00","735","700"
"02.01.2018 06:00 - 02.01.2018 07:00","868","827"
"02.01.2018 07:00 - 02.01.2018 08:00","969","917"
"02.01.2018 08:00 - 02.01.2018 09:00","998","961"
"02.01.2018 09:00 - 02.01.2018 10:00","1009","992"
"02.01.2018 10:00 - 02.01.2018 11:00","1010","997"
"02.01.2018 11:00 - 02.01.2018 12:00","1008","973"
"02.01.2018 12:00 - 02.01.2018 13:00","1015","992"
"02.01.2018 13:00 - 02.01.2018 14:00","1028","993"
"02.01.2018 14:00 - 02.01.2018 15:00","1041","1001"
"02.01.2018 15:00 - 02.01.2018 16:00","1078","1055"
"02.01.2018 16:00 - 02.01.2018 17:00","1071","1055"
"02.01.2018 17:00 - 02.01.2018 18:00","1043","1042"
"02.01.2018 18:00 - 02.01.2018 19:00","1017","1005"
"02.01.2018 19:00 - 02.01.2018 20:00","974","969"
"02.01.2018 20:00 - 02.01.2018 21:00","910","915"
"02.01.2018 21:00 - 02.01.2018 22:00","816","828"
"02.01.2018 22:00 - 02.01.2018 23:00","733","751"
"02.01.2018 23:00 - 03.01.2018 00:00","692","681"
"03.01.2018 00:00 - 03.01.2018 01:00","607","644"
"03.01.2018 01:00 - 03.01.2018 02:00","595","621"
"03.01.2018 02:00 - 03.01.2018 03:00","594","613"
"03.01.2018 03:00 - 03.01.2018 04:00","585","619"
"03.01.2018 04:00 - 03.01.2018 05:00","628","661"
